model,global_f1_macro_mean,global_pr_auc_mean,global_roc_auc_mean,global_f1_macro_sd_mean,rank
rf,0.7356720787553389,0.929042516571068,0.831038802648628,0.025858689287202908,1
nca_knn,0.729125796244972,0.9063638748795185,0.8015387928826638,0.02656543572663521,2
xgboost,0.7290468614239115,0.926482369568075,0.8241795980233332,0.031051462025635995,3
mlp,0.727547913368479,0.9255777156620922,0.8181034664802841,0.03094466481549624,4
svm,0.7249185591973525,0.9262802391390323,0.8200466217891265,0.02933398977937172,5
gpc,0.7247795262446655,0.9243849697164186,0.8164493527442062,0.026171649675327605,6
logreg,0.677885266115433,0.8972799676679507,0.7612478785305594,0.025339670686157573,7
