Actividad,Ligand.Efficiency.BEI,Ligand.Efficiency.LE,Ligand.Efficiency.LLE,Ligand.Efficiency.SEI,VALENCE,TOT_CHG,ATOM_CHG,NON_STD_ATOM,AROMATICITY,N_WARNINGS,MW,GD,nAT,nSK,nBT,nBO,RBN,nDB,nTB,nAB,nH,nC,nN,nO,nP,nS,nF,nCL,nBR,nI,nB,nHM,nHet,nX,H.,C.,N.,O.,X.,totalcharge,nCIC,nCIR,TRS,Rbrid,NRS,nR03,nR04,nR05,nR06,nR07,nR08,nR09,nR10,nR11,nR12,Hy,AMR,TPSA.NO.,TPSA.Tot.,MLOGP,ALOGP,SAtot,SAacc,SAdon,Vx,VvdwMG,VvdwZAZ,BLTF96,BLTD48,BLTA96,Ro5,DLS_01,DLS_02,DLS_03,DLS_04,DLS_05,DLS_06,DLS_07,DLS_cons,LLS_01,LLS_02,CMC.80,CMC.50,Inflammat.80,Inflammat.50,Depressant.80,Depressant.50,Psychotic.80,Psychotic.50,Hypertens.80,Hypertens.50,Hypnotic.80,Hypnotic.50,Neoplastic.80,Neoplastic.50,Infective.80,Infective.50
0,0,0,0,0,0,0,0,0,0,0,234.32,0.13235294,35,17,36,18,4,1,0,6,18,14,0,3,0,0,0,0,0,0,0,0,3,0,51.42857143,40,0,8.57142857,0,0,2,2,12,0,2,0,0,0,2,0,0,0,0,0,0,-0.80724374,65.2908,35.53,35.53,1.45421589,1.9275,337.8038659,47.14470281,0,310.3156146,130.5555798,230.95,-2.62608351,-2.7015051,-2.68421589,0,1,1,1,1,1,1,1,1,0.83333333,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0
1,17.15,0.33,4.45,10.29,0,0,0,0,0,0,475.65,0.06417112,69,34,71,36,10,2,0,11,35,25,5,2,0,0,2,0,0,0,0,0,9,2,50.72463768,36.23188406,7.24637681,2.89855072,2.89855072,0,3,3,16,0,3,0,0,2,1,0,0,0,0,0,0,0.20581834,128.1207,79.26,79.26,4.04533561,3.7573,657.5025274,136.1414254,36.02150137,607.2923588,252.2673602,448.42,-4.82853527,-5.16306883,-5.27533561,0,1,0.66666667,0.83333333,1,1,1,1,0.92857143,0.16666667,0.875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16.77,0.32,4.18,8.56,0,0,0,0,0,0,449.61,0.06653226,65,32,66,33,11,2,0,11,33,23,5,2,0,0,2,0,0,0,0,0,9,2,50.76923077,35.38461538,7.69230769,3.07692308,3.07692308,0,2,2,11,0,2,0,0,1,1,0,0,0,0,0,0,0.88422444,119.9034,88.05,88.05,3.63334197,3.2349,639.154922,151.0278622,54.03225205,578.5215947,240.4760634,426.18,-4.47834068,-4.77167487,-4.86334197,0,1,0.83333333,0.83333333,1,1,0.83333333,0.5,0.85714286,0.16666667,0.875,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,17.21,0.36,1.02,20.71,0,0,0,0,0,0,410.94,0.08262108,48,27,50,29,5,3,0,12,21,21,0,2,0,1,2,1,0,0,0,2,6,3,43.75,43.75,0,4.16666667,6.25,0,3,3,18,0,3,0,0,0,3,0,0,0,0,0,0,-0.76928912,104.3605,34.14,42.52,5.87541364,6.5029,497.3494357,74.23317861,0,478.2724253,199.3903382,357.94,-6.3841016,-6.90164296,-7.10541364,0,0.75,0.83333333,0.83333333,0.7,0.5,0.83333333,1,0.77857143,0.5,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,504.65,0.06031746,70,36,72,38,10,3,0,11,34,25,6,3,0,0,2,0,0,0,0,0,11,2,48.57142857,35.71428571,8.57142857,4.28571429,2.85714286,0,3,3,16,0,3,0,0,2,1,0,0,0,0,0,0,0.23110784,132.0985,99.57,99.57,2.88645875,1.6907,677.8476615,164.4106663,36.02150137,626.4784053,260.130494,465.57,-3.84348993,-4.06213581,-4.11645875,0,0.75,0.5,0.66666667,0.9,1,0.83333333,1,0.80714286,0.33333333,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16.28,0.3,3.31,11.52,0,0,0,0,0,0,445.54,0.07007576,57,33,61,37,5,3,0,17,24,25,5,2,0,0,1,0,0,0,0,0,8,1,42.10526316,43.85964912,8.77192982,3.50877193,1.75438596,0,5,6,27,1,4,0,0,3,2,0,1,0,0,0,0,-0.75116238,124.8347,65.18,65.18,3.91196217,3.8546,537.1606043,90.92461508,0,539.717608,224.5727902,396.17,-4.71516785,-5.03636406,-5.14196217,0,1,1,1,0.8,0.5,1,1,0.9,0.16666667,0.875,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
1,16.11,0.35,3.23,9.06,0,0,0,0,0,0,487.49,0.0688172,59,31,60,32,10,3,0,12,28,22,2,4,0,1,0,2,0,0,0,3,9,2,47.45762712,37.28813559,3.38983051,6.77966102,3.38983051,0,2,2,12,0,2,0,0,0,2,0,0,0,0,0,0,0.25692521,125.8537,86.71,95.09,3.68131841,5.2096,641.0069425,131.6705336,60.69409384,586.8604651,243.8936332,430.25,-4.51912064,-4.81725249,-4.91131841,0,1,0.66666667,0.83333333,1,1,1,1,0.92857143,0.16666667,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,446.61,0.07258065,58,32,62,36,5,3,0,18,26,26,2,3,0,1,0,0,0,0,0,1,6,0,44.82758621,44.82758621,3.44827586,5.17241379,0,0,5,8,30,3,3,0,0,1,3,1,1,0,0,1,1,0.14601985,125.0575,75.27,83.65,3.98764939,4.9078,544.085712,103.8736272,34.41574813,554.5182724,230.6386362,404.34,-4.77950198,-5.10826692,-5.21764939,0,1,1,1,0.8,0.5,1,1,0.9,0.16666667,0.875,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,447.6,0.07258065,57,32,61,36,5,3,0,18,25,25,3,3,0,1,0,0,0,0,0,1,7,0,43.85964912,43.85964912,5.26315789,5.26315789,0,0,5,8,30,3,3,0,0,1,3,1,1,0,0,1,1,0.17699483,122.5286,88.16,96.54,3.01134393,4.1857,538.7662373,120.6591568,34.41574813,547.6910299,227.840586,398.04,-3.94964234,-4.18077673,-4.24134393,0,1,1,1,0.8,0.5,1,1,0.9,0.16666667,0.875,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,409.44,0.07389163,51,29,52,30,8,2,0,12,22,21,1,4,0,0,3,0,0,0,0,0,8,3,43.1372549,41.17647059,1.96078431,7.84313725,5.88235294,0,2,2,12,0,2,0,0,0,2,0,0,0,0,0,0,0.26204073,101.6689,75.63,75.63,3.94281545,4.5616,526.8627457,166.8641756,60.69409384,480.6810631,200.3774849,368.59,-4.74139313,-5.06567468,-5.17281545,0,1,1,1,1,1,1,1,1,0.16666667,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
1,14.22,0.27,3.06,8.68,0,0,0,0,0,0,554.67,0.05641026,73,40,77,44,7,4,0,12,33,30,4,3,0,0,3,0,0,0,0,0,10,3,45.20547945,41.09589041,5.47945205,4.10958904,4.10958904,0,5,6,28,1,4,0,1,1,2,1,0,0,0,1,0,0.14909734,144.0211,90.87,90.87,4.75236198,5.5289,684.6826283,176.2464657,36.02150137,662.9069767,275.0602364,506.14,-5.42950769,-5.83474389,-5.98236198,1,0.5,0.66666667,0.83333333,0.9,1,0.83333333,1,0.81904762,0.16666667,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18.67,0.37,3.93,8.99,0,0,0,0,0,0,439.58,0.07126437,57,30,58,31,10,2,0,11,27,21,3,3,0,1,2,0,0,0,0,1,9,2,47.36842105,36.84210526,5.26315789,5.26315789,3.50877193,0,2,2,11,0,2,0,0,1,1,0,0,0,0,0,0,0.93313049,112.0757,91.32,119.56,3.15449952,4.3301,596.2705512,175.7004547,78.70484453,535.4651163,222.8299657,396.88,-4.07132459,-4.31677454,-4.38449952,0,1,0.83333333,0.83333333,1,1,1,1,0.95238095,0.16666667,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
1,20.39,0.4,5.44,7.67,0,0,0,0,0,0,419.6,0.07389163,58,29,59,30,10,2,0,11,29,21,3,4,0,1,0,0,0,0,0,1,8,0,50,36.20689655,5.17241379,6.89655172,0,0,2,2,11,0,2,0,0,1,1,0,0,0,0,0,0,1.663122,113.1961,111.55,139.79,1.64057866,3.0486,621.5152286,188.4635713,121.3881877,539.3687708,224.4298241,393.53,-2.78449186,-2.87854972,-2.87057866,0,1,0.83333333,0.83333333,1,1,1,1,0.95238095,0.16666667,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0
1,17.21,0.34,3.73,10.16,0,0,0,0,0,0,438.6,0.07126437,58,30,59,31,9,2,0,11,28,21,4,2,0,1,2,0,0,0,0,1,9,2,48.27586207,36.20689655,6.89655172,3.44827586,3.44827586,0,2,2,11,0,2,0,0,1,1,0,0,0,0,0,0,0.27596899,114.8479,74.33,102.57,3.15449952,3.7134,588.2212754,136.1414254,36.02150137,542.2923588,225.6280159,399.09,-4.07132459,-4.31677454,-4.38449952,0,1,1,0.83333333,1,1,1,1,0.97619048,0.16666667,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
