Actividad,Ligand.Efficiency.BEI,Ligand.Efficiency.LE,Ligand.Efficiency.LLE,Ligand.Efficiency.SEI,VALENCE,TOT_CHG,ATOM_CHG,NON_STD_ATOM,AROMATICITY,N_WARNINGS,MW,GD,nAT,nSK,nBT,nBO,RBN,nDB,nTB,nAB,nH,nC,nN,nO,nP,nS,nF,nCL,nBR,nI,nB,nHM,nHet,nX,H.,C.,N.,O.,X.,totalcharge,nCIC,nCIR,TRS,Rbrid,NRS,nR03,nR04,nR05,nR06,nR07,nR08,nR09,nR10,nR11,nR12,Hy,AMR,TPSA.NO.,TPSA.Tot.,MLOGP,ALOGP,SAtot,SAacc,SAdon,Vx,VvdwMG,VvdwZAZ,BLTF96,BLTD48,BLTA96,Ro5,DLS_01,DLS_02,DLS_03,DLS_04,DLS_05,DLS_06,DLS_07,DLS_cons,LLS_01,LLS_02,CMC.80,CMC.50,Inflammat.80,Inflammat.50,Depressant.80,Depressant.50,Psychotic.80,Psychotic.50,Hypertens.80,Hypertens.50,Hypnotic.80,Hypnotic.50,Neoplastic.80,Neoplastic.50,Infective.80,Infective.50
0,12.42,0.23,-1.06,11.23,0,0,0,0,0,0,386.51,0.07881773,52,29,55,32,5,0,0,23,23,24,4,0,0,0,1,0,0,0,0,0,5,1,44.23076923,46.15384615,7.69230769,0,1.92307692,0,4,4,23,0,4,0,0,1,3,0,0,0,0,0,0,-0.4047197,116.0536,42.74,42.74,4.9447449,5.1506,495.5852657,66.54192305,18.01075068,498.2724253,207.5870595,351.75,-5.59303317,-6.01750766,-6.1747449,0,0.75,0.83333333,1,0.6,0.5,1,1,0.81190476,0.33333333,0.875,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,341.51,0.09782609,47,24,50,27,3,2,0,12,23,20,1,2,0,1,0,0,0,0,0,1,4,0,48.93617021,42.55319149,2.12765957,4.25531915,0,0,4,7,24,3,2,0,0,1,2,1,1,0,0,1,1,-0.38311596,96.8438,46.17,54.55,3.65463151,4.6093,431.3703997,60.71794951,16.40499744,434.3687708,181.3970372,314.57,-4.49643679,-4.79189994,-4.88463151,0,1,1,1,0.8,0.5,1,1,0.9,0.66666667,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
1,19.33,0.38,3.87,12.27,0,0,0,0,0,0,509.73,0.0605042,72,35,73,36,14,2,0,11,37,26,3,3,0,1,2,0,0,0,0,1,9,2,51.38888889,36.11111111,4.16666667,4.16666667,2.77777778,0,2,2,11,0,2,0,0,1,1,0,0,0,0,0,0,0.19051903,135.5997,80.32,108.56,4.19369884,5.5533,721.3810748,144.0169994,36.02150137,652.4916944,270.791678,483.38,-4.95464401,-5.3040139,-5.42369884,1,0.5,0.66666667,0.66666667,0.9,1,0.66666667,0.5,0.7,0.16666667,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17.41,0.37,5.38,6.63,0,0,0,0,0,0,454.9,0.07389163,47,29,48,30,10,3,0,11,18,16,4,4,0,1,3,1,0,0,0,2,13,4,38.29787234,34.04255319,8.5106383,8.5106383,8.5106383,0,2,2,11,0,2,0,0,1,1,0,0,0,0,0,0,0.43273598,97.2883,119.39,127.77,2.54666944,2.6273,509.4668406,194.8702143,32.89718747,475.166113,198.1172594,354.09,-3.55466902,-3.73933596,-3.77666944,0,1,0.66666667,0.83333333,1,0.5,1,1,0.85714286,0.33333333,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
1,18.37,0.39,4.7,8.21,0,0,0,0,0,0,465.97,0.07126437,53,30,54,31,8,3,1,6,23,19,3,3,0,1,3,1,0,0,0,2,11,4,43.39622642,35.8490566,5.66037736,5.66037736,7.54716981,0,2,2,12,0,2,0,0,0,2,0,0,0,0,0,0,0.34199908,106.5598,104.26,112.64,2.37161572,4.4387,561.2976828,179.8133228,32.89718747,519.0531562,216.1037525,397.1,-3.40587336,-3.57303493,-3.60161572,0,1,0.83333333,1,1,1,1,1,0.97619048,0.33333333,0.875,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,11.36,0.26,1.76,7.22,0,0,0,0,0,0,481.45,0.07635468,54,29,56,31,7,3,0,12,25,21,2,4,0,1,0,0,1,0,0,2,8,1,46.2962963,38.88888889,3.7037037,7.40740741,1.85185185,0,3,3,19,0,3,0,0,0,2,1,0,0,0,0,0,-0.30230255,116.619,75.71,84.09,2.70323874,4.3549,553.0371205,99.98707833,18.01075068,533.820598,222.1559828,389.45,-3.68775293,-3.88807681,-3.93323874,0,1,0.83333333,1,1,0.5,1,1,0.9047619,0.33333333,0.875,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,12.58,0.26,1.45,8.04,0,0,0,0,0,0,424.96,0.07936508,50,28,52,30,5,3,0,12,22,20,2,3,0,1,1,1,0,0,0,2,8,2,44,40,4,6,4,0,3,3,19,0,3,0,0,0,2,1,0,0,0,0,0,-0.28779665,107.2244,66.48,74.86,3.25841371,4.5215,512.5035932,103.9473037,18.01075068,494.8504983,206.1846305,365.36,-4.15965165,-4.41549302,-4.48841371,0,1,1,1,0.8,0.5,1,1,0.9,0.16666667,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1,15.89,0.29,3.12,9.88,0,0,0,0,0,0,448.54,0.07007576,58,33,62,37,5,2,0,17,25,25,4,3,0,0,1,0,0,0,0,0,8,1,43.10344828,43.10344828,6.89655172,5.17241379,1.72413793,0,5,6,28,1,4,0,0,2,3,0,0,1,0,0,0,-0.3520827,123.2849,72.11,72.11,4.39044908,4.2026,555.6989624,119.1718134,42.68334316,540.0332226,224.7021404,396.6,-5.12188172,-5.49092662,-5.62044908,0,0.75,1,1,0.8,0.5,1,1,0.86428571,0.16666667,0.75,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
0,11.6,0.21,-0.88,7.17,0,0,0,0,0,0,392.54,0.07881773,57,29,60,32,9,2,0,15,28,24,2,3,0,0,0,0,0,0,0,0,5,0,49.12280702,42.10526316,3.50877193,5.26315789,0,0,4,7,22,2,2,0,0,2,2,0,0,2,0,0,0,0.15962358,115.6181,63.49,63.49,3.43289511,5.2951,523.989898,96.83890876,60.69409384,512.8737542,213.5712107,368.87,-4.30796084,-4.58125036,-4.66289511,0,1,1,0.83333333,0.8,0.5,1,1,0.87619048,0.16666667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7.31,0.13,-4.18,6.16,0,0,0,0,0,0,616.81,0.05024155,86,46,92,52,13,2,0,27,40,39,2,5,0,0,0,0,0,0,0,0,7,0,46.51162791,45.34883721,2.3255814,5.81395349,0,0,7,11,39,3,4,0,0,3,4,0,0,3,0,0,0,-0.47911391,179.9317,73.16,73.16,5.24357789,8.786,785.9803186,103.9522478,42.68334316,786.4784053,325.7042645,571.23,-5.84704121,-6.30139899,-6.47357789,1,0.5,0.33333333,0.5,0.6,0.5,0.5,0.5,0.49047619,0.16666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,338.54,0.09,55,25,57,27,10,0,0,15,30,22,2,1,0,0,0,0,0,0,0,0,3,0,54.54545455,40,3.63636364,1.81818182,0,0,3,6,17,2,1,0,0,1,2,0,0,2,0,0,0,0.15421166,105.0591,40.18,40.18,4.74574635,5.8373,489.2345754,43.89707536,32.89718747,478.8870432,199.6422308,334.33,-5.4238844,-5.82845904,-5.97574635,0,0.75,0.66666667,0.83333333,1,0.5,1,1,0.82142857,0.5,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14.91,0.29,-0.43,14.19,0,0,0,0,0,0,447.67,0.07526882,56,31,60,35,5,0,0,22,25,25,3,1,0,2,0,0,0,0,0,2,6,0,44.64285714,44.64285714,5.35714286,1.78571429,0,0,5,6,28,1,4,0,0,2,3,0,0,1,0,0,0,-0.39261231,130.3856,47.04,103.52,4.57663065,6.0546,543.6225054,62.58169767,18.01075068,555.3488372,230.9790316,388.07,-5.28013606,-5.66779912,-5.80663065,0,0.75,0.83333333,1,0.8,0.5,1,1,0.84047619,0.16666667,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14.98,0.3,3.96,9.24,1,0,0,0,1,2,507.51,0.06554622,52,35,56,39,5,4,0,15,17,22,5,3,0,1,4,0,0,0,0,1,13,4,32.69230769,42.30769231,9.61538462,5.76923077,7.69230769,0,5,7,28,2,3,0,0,2,3,0,0,1,1,0,0,-0.62363008,121.4289,82.25,110.49,2.11389956,2.2718,513.1641074,160.9498819,0,522.3255814,217.4449104,392.42,-3.18681463,-3.32820458,-3.34389956,0,0.75,0.83333333,0.83333333,0.5,0.5,0.83333333,1,0.75,0.33333333,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9.51,0.18,1.68,4.17,0,0,0,0,0,0,640.91,0.04541063,98,46,99,47,18,4,0,12,52,35,4,7,0,0,0,0,0,0,0,0,11,0,53.06122449,35.71428571,4.08163265,7.14285714,0,0,2,2,12,0,2,0,0,0,2,0,0,0,0,0,0,1.34130694,175.73,146.3,146.3,2.58599228,5.3721,993.4401789,222.419393,96.71559521,864.2857143,357.5925059,646.67,-3.58809344,-3.77669267,-3.81599228,1,0.5,0.5,0.5,0.8,1,0.33333333,0,0.51904762,0.16666667,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9.98,0.19,1.98,4.37,0,0,0,0,0,0,640.91,0.04541063,98,46,99,47,18,4,0,12,52,35,4,7,0,0,0,0,0,0,0,0,11,0,53.06122449,35.71428571,4.08163265,7.14285714,0,0,2,2,12,0,2,0,0,0,2,0,0,0,0,0,0,1.34130694,175.73,146.3,146.3,2.58599228,5.3721,993.4401789,222.419393,96.71559521,864.2857143,357.5925059,646.67,-3.58809344,-3.77669267,-3.81599228,1,0.5,0.5,0.5,0.8,1,0.33333333,0,0.51904762,0.16666667,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,458.66,0.06439394,71,33,72,34,12,4,0,6,38,26,2,5,0,0,0,0,0,0,0,0,7,0,53.52112676,36.61971831,2.81690141,7.04225352,0,0,2,2,12,0,2,0,0,0,2,0,0,0,0,0,0,0.80160099,128.029,104.73,104.73,2.42933561,4.3644,709.5232091,165.1395135,78.70484453,622.4086379,258.4625565,470.21,-3.45493527,-3.62786883,-3.65933561,0,1,0.66666667,0.83333333,1,1,0.83333333,0.5,0.83333333,0.33333333,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7.48,0.14,0.43,3.45,0,0,0,0,0,0,674.92,0.04336735,99,49,101,51,18,4,0,18,50,38,4,7,0,0,0,0,0,0,0,0,11,0,50.50505051,38.38383838,4.04040404,7.07070707,0,0,3,3,18,0,3,0,0,0,3,0,0,0,0,0,0,1.29276718,186.6754,146.3,146.3,2.90350864,5.6963,1002.814379,222.419393,96.71559521,895.0332226,370.1939437,667.39,-3.85798234,-4.07833321,-4.13350864,1,0.5,0.5,0.5,0.8,1,0.33333333,0,0.51904762,0.16666667,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7.91,0.16,-2.62,7.13,0,0,0,0,0,0,603.23,0.05342625,77,42,81,46,12,3,0,24,35,34,2,4,0,1,0,1,0,0,0,2,8,1,45.45454545,44.15584416,2.5974026,5.19480519,1.2987013,0,5,5,29,0,5,0,0,1,4,0,0,0,0,0,0,-0.80445934,170.2048,66.92,75.3,4.58627966,7.8189,758.2215147,85.10064154,0,750.4152824,310.9242961,547.92,-5.28833771,-5.67696568,-5.81627966,1,0.5,0.5,0.66666667,0.7,0.5,0.66666667,0.5,0.57619048,0.16666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15.13,0.29,3.67,8.49,1,0,0,0,1,2,461.59,0.07007576,56,33,60,37,6,4,0,16,23,24,5,3,0,1,0,0,0,0,0,1,9,0,41.07142857,42.85714286,8.92857143,5.35714286,0,0,5,6,28,1,4,0,0,2,3,0,0,0,1,0,0,-0.72111588,130.1437,82.25,110.49,2.04141266,1.7382,545.769667,99.29992115,0,550.2990033,228.9094276,400.1,-3.12520076,-3.25934202,-3.27141266,0,1,0.83333333,1,0.8,0.5,1,1,0.87619048,0.33333333,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13.23,0.28,2.52,7.36,0,0,0,0,0,0,583.59,0.056899,70,38,72,40,13,3,0,17,32,26,4,5,0,1,0,2,0,0,0,3,12,2,45.71428571,37.14285714,5.71428571,7.14285714,2.85714286,0,3,3,17,0,3,0,0,1,2,0,0,0,0,0,0,-0.29597964,149.6355,104.97,113.35,2.92589365,4.8173,747.5953693,144.5695143,42.68334316,691.0631229,286.5996405,501.7,-3.8770096,-4.09959897,-4.15589365,0,0.75,0.5,0.66666667,0.9,1,0.66666667,0.5,0.71190476,0.33333333,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15.97,0.31,2.8,9.6,0,0,0,0,0,0,327.43,0.09881423,40,23,42,25,4,4,0,12,17,18,1,3,0,1,0,0,0,0,0,1,5,0,42.5,45,2.5,7.5,0,0,3,3,18,0,3,0,0,0,3,0,0,0,0,0,0,-0.77212822,91.1403,54.45,62.83,2.23738134,3.4275,405.1176022,70.97643976,0,401.0631229,167.7471815,295.84,-3.29177414,-3.44551228,-3.46738134,0,1,1,1,0.6,0.5,1,1,0.87142857,0.33333333,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,249.34,0.12418301,37,18,38,19,3,1,0,6,19,14,1,3,0,0,0,0,0,0,0,0,4,0,51.35135135,37.83783784,2.7027027,8.10810811,0,0,2,2,12,0,2,0,0,0,2,0,0,0,0,0,0,-0.27959974,68.423,49.77,49.77,1.45838546,2.1066,371.7539803,81.95247197,42.68334316,326.8936877,137.349872,241.95,-2.62962764,-2.70546619,-2.68838546,0,1,1,1,1,1,1,1,1,0.83333333,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1
1,14.62,0.28,3.48,8.29,0,0,0,0,0,0,515.52,0.06156156,58,37,62,41,5,1,0,22,21,24,7,2,0,0,4,0,0,0,0,0,13,4,36.20689655,41.37931034,12.06896552,3.44827586,6.89655172,0,5,6,29,1,4,0,0,2,2,1,0,0,0,1,0,-0.64389321,126.9849,90.96,90.96,3.74439828,4.112,561.0997362,165.8841338,0,558.2392027,232.1636077,408.18,-4.57273854,-4.87717837,-4.97439828,0,0.75,0.66666667,0.83333333,0.7,0.5,0.83333333,1,0.7547619,0.16666667,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14.29,0.27,2.57,9.67,0,0,0,0,0,0,528.56,0.05974395,62,38,66,42,5,1,0,22,24,26,6,2,0,0,4,0,0,0,0,0,12,4,38.70967742,41.93548387,9.67741935,3.22580645,6.4516129,0,5,6,29,1,4,0,0,2,2,1,0,0,0,1,0,-0.67935932,133.269,78.07,78.07,4.07090167,4.9843,592.4959467,149.0986042,0,588.4717608,244.5540003,431.78,-4.85026642,-5.18735659,-5.30090167,0,0.75,0.83333333,0.83333333,0.7,0.5,0.83333333,1,0.77857143,0.16666667,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14.37,0.27,4.53,7.41,0,0,0,0,0,0,549.57,0.05641026,65,40,69,44,8,4,0,18,25,29,3,6,0,0,2,0,0,0,0,0,11,2,38.46153846,44.61538462,4.61538462,9.23076923,3.07692308,0,5,7,30,2,3,0,0,1,3,1,0,1,0,1,0,-0.34220813,138.3895,106.53,106.53,3.57894521,4.8299,644.9426665,176.2752654,18.01075068,627.8239203,260.6819345,479.32,-4.43210343,-4.71999795,-4.80894521,0,0.75,0.66666667,0.83333333,0.7,0.5,0.83333333,1,0.7547619,0.16666667,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,402.39,0.09782609,41,24,44,27,3,2,0,11,17,17,1,2,0,2,0,2,0,0,0,4,7,2,41.46341463,41.46341463,2.43902439,4.87804878,4.87804878,0,4,7,23,3,2,0,0,2,1,1,1,0,0,1,1,-0.25970122,99.6233,46.17,82.79,4.04066943,5.033,433.5025474,60.71794951,16.40499744,439.1196013,183.3440989,314.24,-4.82456902,-5.15863596,-5.27066943,0,1,1,1,0.8,0.5,1,1,0.9,0.5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,14.32,0.26,1.56,9.01,0,0,0,0,0,0,363.43,0.08547009,45,27,48,30,5,0,0,22,18,20,5,1,0,0,1,0,0,0,0,0,7,1,40,44.44444444,11.11111111,2.22222222,2.22222222,0,4,4,22,0,4,0,0,2,2,0,0,0,0,0,0,-0.7326563,102.7824,57.76,57.76,3.67764782,3.6843,435.3714927,75.94902346,0,438.1229236,182.9356244,304.98,-4.51600064,-4.81376543,-4.90764782,0,1,1,1,0.6,0,1,1,0.8,0.33333333,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0
0,12.12,0.22,1.33,5.36,0,0,0,0,0,0,427.51,0.07258065,53,32,57,36,6,0,0,27,21,23,7,2,0,0,0,0,0,0,0,0,9,0,39.62264151,43.39622642,13.20754717,3.77358491,0,0,5,5,27,0,5,0,0,3,2,0,0,0,0,0,0,-0.71242451,119.919,96.68,96.68,4.26808947,3.1297,512.0786075,107.1051574,0,515.9966777,214.8510974,353.06,-5.01787605,-5.374685,-5.49808947,0,0.75,0.83333333,1,0.6,0,1,1,0.74047619,0.16666667,0.75,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
1,21.05,0.44,4.08,11.59,0,0,0,0,0,0,363.82,0.09782609,35,24,38,27,2,2,0,17,11,16,3,2,0,1,1,1,0,0,0,2,8,2,31.42857143,45.71428571,8.57142857,5.71428571,5.71428571,0,4,7,23,2,2,0,0,1,3,0,0,1,1,0,0,-0.21856297,90.9332,66.06,74.44,2.94761197,4.1579,360.3286016,77.45463343,16.66300743,382.8737542,160.2925222,272.47,-3.89547018,-4.12023137,-4.17761197,0,1,1,1,0.4,0,1,1,0.77142857,0.5,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0
1,19.9,0.43,4.65,11.5,0,0,0,0,0,0,383.95,0.09782609,42,24,45,27,3,2,0,11,18,17,1,3,0,2,0,1,0,0,0,3,7,1,42.85714286,40.47619048,2.38095238,7.14285714,2.38095238,0,4,7,23,3,2,0,0,2,1,1,1,0,0,1,1,0.33724802,96.269,66.4,103.02,2.73249442,3.3549,443.0128874,103.4012927,59.08834061,428.538206,179.0074615,307.82,-3.71262025,-3.91586969,-3.96249442,0,1,1,1,0.8,0.5,1,1,0.9,0.5,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1
1,13.44,0.27,1.92,11.07,0,0,0,0,0,0,578.21,0.05802969,76,39,80,43,7,3,0,12,37,29,3,4,0,1,1,1,0,0,0,2,10,2,48.68421053,38.15789474,3.94736842,5.26315789,2.63157895,0,5,5,30,0,5,0,0,0,5,0,0,0,0,0,0,-0.73848628,150.5001,70.16,78.54,3.96332652,6.7566,716.8937956,103.1850687,0,695.7475083,288.5194706,516.13,-4.75882754,-5.0851602,-5.19332652,0,0.75,0.83333333,0.83333333,0.9,1,0.83333333,1,0.87857143,0.16666667,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14.8,0.28,1.97,9.49,0,0,0,0,0,0,429.44,0.07311828,49,31,52,34,6,0,0,22,18,21,5,2,0,0,3,0,0,0,0,0,10,3,36.73469388,42.85714286,10.20408163,4.08163265,6.12244898,0,4,4,22,0,4,0,0,2,2,0,0,0,0,0,0,-0.67121369,110.1402,66.99,66.99,3.35614924,5.5987,482.2313863,116.8691379,0,477.1262459,198.9205926,343.21,-4.24272685,-4.50834177,-4.58614924,0,1,1,1,0.6,0.5,1,1,0.87142857,0.16666667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18.51,0.37,4.19,10.08,0,0,0,0,0,0,452.63,0.0688172,61,31,62,32,11,2,0,11,30,22,4,2,0,1,2,0,0,0,0,1,9,2,49.18032787,36.06557377,6.55737705,3.27868852,3.27868852,0,2,2,11,0,2,0,0,1,1,0,0,0,0,0,0,0.90799827,118.7057,83.12,111.36,3.36934125,4.0867,615.3076416,151.0278622,54.03225205,565.6976744,235.2203584,416.39,-4.25394006,-4.52087419,-4.59934125,0,1,0.66666667,0.83333333,1,1,0.83333333,0.5,0.83333333,0.16666667,0.875,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
1,20.21,0.4,6.27,15.65,0,0,0,0,0,0,520.6,0.06507937,60,36,65,41,3,2,0,17,24,25,4,2,0,1,4,0,0,0,0,1,11,4,40,41.66666667,6.66666667,3.33333333,6.66666667,0,6,9,34,3,3,0,0,3,2,1,1,0,0,1,1,-0.2999255,126.6001,67.23,75.61,5.18458577,5.1663,547.3658781,138.8624928,16.40499744,562.4584718,233.8928163,417.45,-5.7968979,-6.24535648,-6.41458577,1,0.5,0.5,0.66666667,0.6,0.5,0.66666667,1,0.63333333,0.33333333,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11.09,0.22,0.3,7.51,0,0,0,0,0,0,447.52,0.07526882,51,31,55,35,3,2,0,17,20,22,3,2,0,1,3,0,0,0,0,1,9,3,39.21568627,43.1372549,5.88235294,3.92156863,5.88235294,0,5,8,29,3,3,0,0,1,4,0,1,1,0,1,0,-0.29672464,111.7875,66.06,74.44,3.75220268,4.7796,477.0572068,107.37486,16.66300743,490.7807309,204.516693,360.84,-4.57937228,-4.88459255,-4.98220268,0,1,1,1,0.8,0.5,1,1,0.9,0.33333333,0.875,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,13.95,0.28,3.34,5.68,0,0,0,0,0,0,438.48,0.07816092,47,30,51,34,3,2,0,16,17,18,6,2,0,1,3,0,0,0,0,1,12,3,36.17021277,38.29787234,12.76595745,4.25531915,6.38297872,0,5,8,28,3,3,0,0,2,3,0,1,1,0,1,0,0.37501413,101.7831,107.63,116.01,3.10692829,2.4305,440.4640437,140.823397,33.32601487,454.0365449,189.4576004,327.28,-4.03088905,-4.27158187,-4.33692829,0,1,1,1,0.8,0.5,1,1,0.9,0.33333333,0.875,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
1,15.14,0.29,1.18,9.56,0,0,0,0,0,0,409.53,0.07881773,49,29,52,32,6,0,0,22,20,21,5,1,0,1,1,0,0,0,0,1,8,1,40.81632653,42.85714286,10.20408163,2.04081633,2.04081633,0,4,4,22,0,4,0,0,2,2,0,0,0,0,0,0,-0.30230255,115.6384,64.86,93.1,3.89850264,4.1401,491.1226371,94.08229626,18.01075068,488.6877076,203.6588966,340.79,-4.70372725,-5.02357751,-5.12850264,0,1,1,1,0.6,0.5,1,1,0.87142857,0.16666667,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0
0,10.59,0.19,-1.22,9.57,0,0,0,0,0,0,415.56,0.07311828,57,31,60,34,6,0,0,23,26,25,5,0,0,0,1,0,0,0,0,0,6,1,45.61403509,43.85964912,8.77192982,0,1.75438596,0,4,4,23,0,4,0,0,1,3,0,0,0,0,0,0,-0.39261231,125.441,45.98,45.98,4.63105482,4.8266,541.5616077,69.66623694,18.01075068,538.255814,223.9736942,380.05,-5.3263966,-5.71950208,-5.86105482,0,0.75,0.83333333,1,0.8,0.5,1,1,0.84047619,0.33333333,0.875,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,12.22,0.23,-1.51,11.27,0,0,0,0,0,0,433.59,0.07311828,55,31,58,34,6,0,0,23,24,25,3,1,0,1,1,0,0,0,0,1,6,1,43.63636364,45.45454545,5.45454545,1.81818182,1.81818182,0,4,4,23,0,4,0,0,1,3,0,0,0,0,0,0,-0.39261231,126.4536,47.04,75.28,4.60671864,5.5044,545.7265509,77.54181094,18.01075068,542.0099668,225.5122815,385.35,-5.30571084,-5.69638271,-5.83671864,0,0.75,0.83333333,1,0.8,0.5,1,1,0.84047619,0.16666667,0.875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13.72,0.28,2.96,6.68,0,0,0,0,0,0,455.03,0.07356322,57,30,59,32,9,3,0,11,27,20,4,4,0,1,0,1,0,0,0,2,10,1,47.36842105,35.0877193,7.01754386,7.01754386,1.75438596,0,3,3,17,0,3,0,0,1,2,0,0,0,0,0,0,-0.24987445,115.2648,93.53,101.91,1.8947098,3.099,573.8758241,116.7726079,18.01075068,541.9767442,225.4986657,392.72,-3.00050333,-3.11997431,-3.1247098,0,1,0.83333333,0.83333333,1,1,1,1,0.95238095,0.33333333,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
1,14.85,0.28,1.02,10.79,0,0,0,0,0,0,471.5,0.06595365,55,34,58,37,6,0,0,23,21,24,5,1,0,0,4,0,0,0,0,0,10,4,38.18181818,43.63636364,9.09090909,1.81818182,7.27272727,0,4,4,23,0,4,0,0,1,3,0,0,0,0,0,0,-0.30447501,122.9406,64.86,64.86,4.77287118,5.5514,540.5720771,138.9626361,18.01075068,533.372093,221.9721693,389.75,-5.44694051,-5.85422763,-6.00287118,0,0.75,0.66666667,1,0.8,0.5,1,1,0.81666667,0.16666667,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14.87,0.27,1.04,9.25,0,0,0,0,0,0,403.5,0.07586207,52,30,55,33,6,0,0,23,22,23,5,1,0,0,1,0,0,0,0,0,7,1,42.30769231,44.23076923,9.61538462,1.92307692,1.92307692,0,4,4,23,0,4,0,0,1,3,0,0,0,0,0,0,-0.34891959,116.9669,64.86,64.86,4.25575867,4.6091,505.9939958,94.08229626,18.01075068,501.1960133,208.7852514,354.24,-5.00739487,-5.36297074,-5.48575867,0,0.75,1,1,0.6,0.5,1,1,0.83571429,0.16666667,0.875,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,0,0,0,0,483.77,0.0605042,80,35,81,36,13,4,0,6,45,29,3,3,0,0,0,0,0,0,0,0,6,0,56.25,36.25,3.75,3.75,0,0,2,2,12,0,2,0,0,0,2,0,0,0,0,0,0,0.10547856,142.716,78.51,78.51,3.37742125,5.8023,764.1597189,114.5805964,36.02150137,689.7009967,286.0413921,515.53,-4.26080806,-4.52855019,-4.60742125,0,1,0.66666667,0.83333333,1,1,0.83333333,0.5,0.83333333,0.16666667,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,144.19,0.22222222,22,10,22,10,1,1,0,0,12,7,0,3,0,0,0,0,0,0,0,0,3,0,54.54545455,31.81818182,0,13.63636364,0,0,1,1,6,0,1,0,0,0,1,0,0,0,0,0,0,-0.06514066,35.927,46.53,46.53,-0.31323402,-0.0645,231.93041,78.82815808,42.68334316,185.9468439,79.58477207,141.03,-1.12375108,-1.02242768,-0.91676598,0,1,0.83333333,0.83333333,1,1,1,1,0.95238095,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
