Actividad,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,VALENCE,TOT_CHG,ATOM_CHG,NON_STD_ATOM,AROMATICITY,N_WARNINGS,MW,GD,nAT,nSK,nBT,nBO,RBN,nDB,nTB,nAB,nH,nC,nN,nO,nP,nS,nF,nCL,nBR,nI,nB,nHM,nHet,nX,H%,C%,N%,O%,X%,totalcharge,nCIC,nCIR,TRS,Rbrid,NRS,nR03,nR04,nR05,nR06,nR07,nR08,nR09,nR10,nR11,nR12,Hy,AMR,TPSA(NO),TPSA(Tot),MLOGP,ALOGP,SAtot,SAacc,SAdon,Vx,VvdwMG,VvdwZAZ,BLTF96,BLTD48,BLTA96,Ro5,DLS_01,DLS_02,DLS_03,DLS_04,DLS_05,DLS_06,DLS_07,DLS_cons,LLS_01,LLS_02,CMC-80,CMC-50,Inflammat-80,Inflammat-50,Depressant-80,Depressant-50,Psychotic-80,Psychotic-50,Hypertens-80,Hypertens-50,Hypnotic-80,Hypnotic-50,Neoplastic-80,Neoplastic-50,Infective-80,Infective-50
0,11.48,0.24,2.31,5.71,0,0,0,0,0,0,422.92,0.08201058,47,28,50,31,5,3,0,12,19,19,2,5,0,1,0,1,0,0,0,2,9,1,40.42553191,40.42553191,4.25531915,10.63829787,2.12765957,0,4,5,23,1,3,0,0,1,3,0,0,1,0,0,0,-0.25245455,103.7557,84.94,93.32,2.06842502,3.2504,473.5157467,110.9869662,18.01075068,469.9833887,195.9931921,347.21,-3.14816126,-3.28500377,-3.29842502,0,1,1,1,0.8,0.5,1,1,0.9,0.33333333,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0
1,14.61,0.31,3.64,7.13,0,0,0,0,0,0,555.53,0.06031746,64,36,66,38,13,3,0,17,28,24,4,5,0,1,0,2,0,0,0,3,12,2,43.75,37.5,6.25,7.8125,3.125,0,3,3,17,0,3,0,0,1,2,0,0,0,0,0,0,0.25867485,140.438,113.76,122.14,2.52639828,3.9475,688.5104193,159.455951,60.69409384,644.2524917,267.4149556,467.1,-3.53743854,-3.72007837,-3.75639828,0,0.75,0.5,0.66666667,0.9,0.5,0.66666667,0.5,0.64047619,0.33333333,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18.67,0.34,4.24,10.5,0,0,0,0,0,0,441.57,0.06818182,60,33,63,36,5,3,0,18,27,27,3,3,0,0,0,0,0,0,0,0,6,0,45,45,5,5,0,0,4,7,25,2,2,0,0,0,3,1,0,0,0,2,0,0.13179672,127.0199,78.51,78.51,2.88091996,3.5424,587.709146,114.5805964,36.02150137,571.0963455,237.4329285,421.21,-3.83878197,-4.05687396,-4.11091996,0,1,1,1,0.8,0.5,1,1,0.9,0.33333333,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
1,19.48,0.39,3.37,12.37,0,0,0,0,0,0,451.64,0.0688172,62,31,63,32,10,2,0,11,31,23,3,2,0,1,2,0,0,0,0,1,8,2,50,37.09677419,4.83870968,3.22580645,3.22580645,0,2,2,11,0,2,0,0,1,1,0,0,0,0,0,0,0.22496265,119.6861,71.09,99.33,4.35243462,5.3336,630.0931266,133.0171115,36.02150137,572.5249169,238.0184086,422.69,-5.08956943,-5.45481289,-5.58243462,0,0.75,0.66666667,0.83333333,1,1,1,1,0.89285714,0.16666667,0.875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12.28,0.25,2.41,5.31,0,0,0,0,0,0,454.97,0.07356322,53,30,55,32,8,3,0,12,23,20,2,6,0,1,0,1,0,0,0,2,10,1,43.39622642,37.73584906,3.77358491,11.32075472,1.88679245,0,3,4,17,1,2,0,0,1,2,0,0,1,0,0,0,0.30898403,111.5052,105.17,113.55,2.3550902,3.8073,561.1068415,150.2545825,57.27836697,521.179402,216.9751648,385.66,-3.39182667,-3.55733569,-3.5850902,0,1,0.83333333,1,1,0.5,1,1,0.9047619,0.33333333,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
1,15.93,0.33,1.42,11.67,0,0,0,0,0,0,422.03,0.07936508,56,28,58,30,6,2,0,12,28,22,1,3,0,1,0,1,0,0,0,2,6,1,50,39.28571429,1.78571429,5.35714286,1.78571429,0,3,3,18,0,3,0,0,0,3,0,0,0,0,0,0,-0.35848085,115.7307,57.61,65.99,4.03942266,6.256,562.1267278,88.51485589,42.68334316,529.3023256,220.3042318,385.53,-4.82350926,-5.15745153,-5.26942266,0,1,1,1,1,1,1,1,1,0.16666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12.38,0.25,2.21,4.95,0,0,0,0,0,0,419.93,0.08465608,46,28,50,32,3,2,0,16,18,18,5,3,0,1,0,1,0,0,0,2,10,1,39.13043478,39.13043478,10.86956522,6.52173913,2.17391304,0,5,8,28,3,3,0,0,2,3,0,1,1,0,1,0,-0.21711245,102.8095,104.98,113.36,2.99259408,2.4235,452.0613754,108.6107674,16.66300743,458.7707641,191.3978542,322.07,-3.93370497,-4.16296438,-4.22259408,0,1,1,1,0.8,0.5,1,1,0.9,0.5,0.875,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0
0,10.07,0.21,0.93,4.78,0,0,0,0,0,0,436,0.08465608,46,28,50,32,3,2,0,16,18,18,5,2,0,2,0,1,0,0,0,3,10,1,39.13043478,39.13043478,10.86956522,4.34782609,2.17391304,0,5,8,28,3,3,0,0,2,3,0,1,1,0,1,0,-0.21711245,111.8795,91.84,128.46,2.11692342,2.8907,465.0600648,95.82053503,16.66300743,476.179402,198.5325418,331.79,-3.18938491,-3.33107725,-3.34692342,0,1,1,1,0.8,0.5,1,1,0.9,0.5,0.875,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
1,14.41,0.28,2.55,8.82,0,0,0,0,0,0,513.59,0.06507937,58,36,63,41,4,2,0,22,22,25,5,2,0,1,3,0,0,0,0,1,11,3,37.93103448,43.10344828,8.62068966,3.44827586,5.17241379,0,6,9,34,3,4,0,0,2,4,0,1,1,0,1,0,-0.2999255,129.4166,83.88,92.26,3.77555028,4.4493,539.277966,124.1603895,16.66300743,561.8272425,233.6341158,406.2,-4.59921773,-4.90677276,-5.00555028,0,0.75,0.66666667,0.83333333,0.7,0.5,0.83333333,1,0.7547619,0.16666667,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14.22,0.29,3.98,8.09,0,0,0,0,0,0,514.15,0.06595365,70,34,73,37,7,3,0,6,36,24,3,5,0,1,0,1,0,0,0,2,10,1,51.42857143,34.28571429,4.28571429,7.14285714,1.42857143,0,4,4,21,0,4,1,0,0,3,0,0,0,0,0,0,-0.30447501,131.8538,90.39,98.77,2.0924534,3.8471,685.1428713,130.9082986,42.68334316,625.0166113,259.5313981,463.53,-3.16858539,-3.30783073,-3.3224534,0,0.75,0.83333333,0.83333333,0.9,1,0.83333333,1,0.87857143,0.33333333,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
