Actividad_500	MW	GD	nAT	nSK	nBT	nBO	RBN	nDB	nTB	nAB	nH	nC	nN	nO	nP	nS	nF	nCL	nBR	nI	nB	nHM	nHet	nX	H%	C%	N%	O%	X%	nStructures	totalcharge	nCIC	nCIR	TRS	Rbrid	NRS	nR03	nR04	nR05	nR06	nR07	nR08	nR09	nR10	nR11	nR12	Hy	AMR	TPSA(NO)	TPSA(Tot)	MLOGP	ALOGP	SAtot	SAacc	SAdon	Vx	VvdwMG	VvdwZAZ	BLTF96	BLTD48	BLTA96	Ro5	DLS_01	DLS_02	DLS_03	DLS_04	DLS_05	DLS_06	DLS_07	DLS_cons	LLS_01	LLS_02	CMC-80	CMC-50	Inflammat-80	Inflammat-50	Depressant-80	Depressant-50	Psychotic-80	Psychotic-50	Hypertens-80	Hypertens-50	Hypnotic-80	Hypnotic-50	Neoplastic-80	Neoplastic-50	Infective-80	Infective-50
1	55066	549	71	41	75	45	11	5	1	17	30	32	4	5	0	0	0	0	0	0	0	0	9	0	422535	450704	56338	70423	0	1	0	5	6	29	1	4	0	0	1	4	0	0	0	1	0	0	-7755	1566277	9566	9566	267	39909	6.973.484	1204687	0	6847342	2840058	51601	-36595	-38565	-39	0	75	5	6667	7	5	6667	5	6119	3333	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	88614	336	121	66	127	72	18	6	1	30	55	54	5	7	0	0	0	0	0	0	0	0	12	0	454545	446281	41322	57851	0	1	0	7	8	43	1	6	0	0	0	6	1	0	0	0	1	0	17471	2521127	17529	17529	44595	92665	11.931.371	2682364	1147263	11425083	4716182	85755	-51806	-55566	-56895	1	25	3333	5	6	5	3333	0	3595	0	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	11435	255	162	84	167	89	35	6	1	36	78	68	4	12	0	0	0	0	0	0	0	0	16	0	481481	419753	24691	74074	0	1	0	6	6	36	0	6	0	0	0	6	0	0	0	0	0	0	16166	3221883	21692	21692	34681	113947	16.264.843	3205953	1147263	14989701	6177091	112624	-43379	-46147	-46981	1	5	3333	5	8	1	3333	0	4952	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	103939	281	150	76	154	80	33	5	1	30	74	61	4	11	0	0	0	0	0	0	0	0	15	0	493333	406667	26667	73333	0	1	0	5	5	30	0	5	0	0	0	5	0	0	0	0	0	0	16794	2916128	19985	19985	34248	99905	15.048.453	2954504	1147263	13719934	5656694	103017	-43011	-45736	-46548	1	5	5	5	8	1	3333	0	519	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	40035	867	44	25	45	26	6	3	0	12	19	18	1	3	0	1	0	2	0	0	0	3	7	2	431818	409091	22727	68182	45455	1	0	2	2	12	0	2	0	0	0	2	0	0	0	0	0	0	-2773	1045857	5761	6599	39672	52645	5.019.303	885149	426833	4669103	1947337	34126	-47621	-50888	-51972	0	1	1	1	8	5	1	1	9	1667	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	46352	66	57	34	60	37	5	3	0	18	23	26	3	3	0	0	2	0	0	0	0	0	8	2	403509	45614	52632	52632	35088	1	0	4	7	25	2	2	0	0	0	3	1	0	0	0	2	0	1766	1230345	7851	7851	34169	35759	563.115	1445008	360215	5535382	230237	41605	-42944	-45661	-46469	0	1	8333	1	8	5	1	1	8762	1667	875	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
0	24428	1242	31	18	32	19	3	1	0	12	13	15	0	2	0	0	1	0	0	0	0	0	3	1	419355	483871	0	64516	32258	1	0	2	2	12	0	2	0	0	0	2	0	0	0	0	0	0	-3341	672927	373	373	38954	36556	3.282.644	827884	426833	3054651	1285677	22671	-47011	-50206	-51254	0	1	1	1	6	5	1	1	8714	8333	1	1	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0
1	51555	597	61	38	65	42	5	5	0	18	23	29	3	4	0	0	2	0	0	0	0	0	9	2	377049	47541	4918	65574	32787	1	0	5	7	31	2	3	0	0	0	4	1	0	0	1	1	0	-3744	1369239	9198	9198	37794	46994	6.050.527	1542755	180108	6011794	249762	4591	-46024	-49104	-50094	0	75	8333	8333	5	5	8333	1	75	1667	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	51659	597	64	38	68	42	5	4	0	18	26	29	4	3	0	0	2	0	0	0	0	0	9	2	40625	453125	625	46875	3125	1	0	5	7	31	2	3	0	0	0	4	1	0	0	1	1	0	1489	1379658	9087	9087	42543	4587	616.749	1612864	360215	6151495	2554875	46395	-50061	-53616	-54843	1	5	8333	8333	7	5	8333	1	7429	1667	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	50157	616	62	37	66	41	5	4	0	18	25	29	3	3	0	0	2	0	0	0	0	0	8	2	403226	467742	48387	48387	32258	1	0	5	7	30	2	3	0	0	1	3	1	0	1	0	1	0	-3918	1352864	7884	7884	46074	52065	5.995.959	1432756	180108	5985714	2486932	45295	-53063	-5697	-58374	1	5	6667	8333	7	5	8333	1	719	1667	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
